코스별,코스명,거리(km),소요시간정보,코스시점,코스종점,코스시점주소,위도,경도
1코스,시흥 - 광치기,15.1,4.5시간,코스1. 시흥리정류장,광치기 해변,제주특별자치도 서귀포시 성산읍 시흥상동로 97-13,33.47682352,126.8955178
2코스,광치기 - 온평,15.6,4.5시간,코스2. 광치기해변,온평포구,제주 서귀포시 성산읍 고성리 224-33,33.45231637,126.9238948
3코스,온평 - 표선(A),20.9,6.5시간,코스3. 온평포구,표선해수욕장,제주 서귀포시 성산읍 온평애향로 69-5,33.40563366,126.9044692
3코스,온평 - 표선(B),14.6,4.5시간,코스3. 온평포구,표선해수욕장,제주 서귀포시 성산읍 온평애향로 69-5,33.40563366,126.9044692
4코스,표선 - 남원,19,6.5시간,코스4. 표선해수욕장,남원포구,제주 서귀포시 표선면 민속해안로 620,33.32561228,126.8393717
5코스,남원 - 쇠소깍,13.4,4.5시간,코스5. 남원포구,쇠소깍다리,제주 서귀포시 남원읍 남태해안로 140,33.2778173,126.7196046
6코스,쇠소깍 - 제주올레여행자센터,11,3.5시간,코스6. 쇠소깍다리,제주올레여행자센터,제주특별자치도 서귀포시 하효동 1459,33.2594507,126.6238825
7코스,제주올레여행자센터 - 월평,17.6,5.5시간,코스7.제주올레여행자센터,월평 아왜낭목쉼터,제주특별자치도 서귀포시 중정로 22,33.24740549,126.5586574
8코스,월평 - 대평,19.6,5.5시간,코스8. 월평 아왜낭목,대평포구,제주특별자치도 서귀포시 월평동 738,33.24350548,126.4585191
9코스,대평 - 화순,11.8,3.5시간,코스9. 대평포구,화순 금모래해수욕장,제주특별자치도 서귀포시 안덕면 감산리 982-5,33.2369813,126.3607205
10코스,화순 - 모슬포,15.6,5.5시간,코스10. 제주올레공식안내소,하모체육공원,제주특별자치도 서귀포시 안덕면 화순해안로 87,33.24018644,126.3354464
11코스,모슬포 - 무릉,17.3,5.5시간,코스11. 하모체육공원,무릉외갓집,제주특별자치도 서귀포시 대정읍 하모리 2139-3,33.21865705,126.2524175
12코스,무릉 - 용수,17.5,5.5시간,코스12. 무릉외갓집,용수포구,제주특별자치도 서귀포시 대정읍 중산간서로2881번길,33.27093722,126.2387494
13코스,용수 - 저지,15.9,4.5시간,코스13. 용수포구,저지예술정보화마을,제주특별자치도 제주시 한경면 용수3길 21-1,33.32373275,126.1672592
14코스,저지 - 한림,19.1,6.5시간,코스14. 저지예술정보화마을,한림항,제주특별자치도 제주시 한경면 중산간서로 3687,33.33369122,126.2559674
15코스,한림 - 고내(A),16.5,5.5시간,코스15. 한림항,고내포구,제주특별자치도 제주시 한림읍 한림해안로 143,33.41573068,126.2615889
15코스,한림 - 고내(B),13,4.5시간,코스15. 한림항,고내포구,제주특별자치도 제주시 한림읍 한림해안로 143,33.41573068,126.2615889
16코스,고내 - 광령,15.8,5.5시간,코스16. 고내포구,광령1리사무소,제주특별자치도 제주시 애월읍 고내리 1111-2,33.46690827,126.3378478
17코스,광령 - 제주원도심,18.1,6.5시간,코스17. 광령1리사무소,간세라운지X관덕정분식,제주특별자치도 제주시 애월읍 광성로 298-1,33.46050264,126.4392585
18코스,제주원도심 - 조천,19.7,6.5시간,코스18. 간세라운지X관덕정분식,조천만세동산,제주특별자치도 제주시 관덕로8길 7-9 ,33.51257074,126.5243196
19코스,조천 - 김녕,19.4,6.5시간,코스19. 조천만세동산,김녕 서포구,제주특별자치도 제주시 조천읍 신북로 303,33.54102729,126.6407255
20코스,김녕 - 하도,17.6,5.5시간,코스20. 김녕 서포구,제주해녀박물관,제주특별자치도 제주시 구좌읍 김녕리 4070,33.55766373,126.744866
21코스,하도 - 종달,11.3,3.5시간,코스21. 제주 해녀박물관,종달바당,제주특별자치도 제주시 구좌읍 해녀박물관길 26,33.52360988,126.8634256
1-1코스,우도,11.3,4.5시간,코스1-1. 천진항.하우목동항,천진항.하우목동항,제주특별자치도 제주시 우도면 우도해안길 352,33.50956754,126.9435146
7-1코스,서귀포버스터미널 - 제주올레여행자센터,15.7,4.5시간,코스7-1. 서귀포버스터미널앞,제주올레여행자센터,제주특별자치도 서귀포시 일주동로 9217,33.24899257,126.5082188
10-1코스,가파도,4.2,1.5시간,코스10-1. 상동포구,가파 치안센터,제주특별자치도 서귀포시 대정읍 가파리 373-2,33.17351325,126.2686794
14-1코스,저지 - 서광,9.3,3.5시간,코스14-1. 저지예술정보화마을,오설록녹차밭,제주특별자치도 제주시 한경면 중산간서로 3687,33.33369122,126.2559674
18-1코스,추자도,18.2,7시간,코스18-1. 상추자항,상추자항,제주특별자치도 제주시 추자면 대서리 4-41,33.96229576,126.2973067
